model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels,sweep_name
cnn,0.1623338474035263,0.3549093155151999,0.3610738208939112,217151,217151,27,0.7209832224097702,0.4727570911147162,0.5677276742007774,46,trial_0101_learning_rate=0.01,completed,[5],0.01,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1622521694898605,0.351403733578985,0.3553862030247507,66623,66623,50,0.6960766050052054,0.4727570911147162,0.545858273637804,44,trial_0102_learning_rate=0.01,completed,[5],0.01,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1615024280548095,0.359052680876807,0.3634211679302809,116799,116799,50,0.7255862350793272,0.4727570911147162,0.566268539006217,46,trial_0103_learning_rate=0.01,completed,[5],0.01,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1626381818056106,0.3575221194415088,0.360979486909567,217151,217151,50,0.7389426099170086,0.4727570911147162,0.5761636074405543,50,trial_0104_learning_rate=0.01,completed,[5],0.01,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1624342839717865,0.3496530292654278,0.3525914598929765,66623,66623,50,0.7015969588234161,0.4727570911147162,0.5458278660725026,42,trial_0105_learning_rate=0.01,completed,[5],0.01,0.001,[64],base_cnn_kernel_sweep
cnn,0.1617405973672867,0.3577490157716127,0.3627591784404049,116799,116799,50,0.7325591478781479,0.4727570911147162,0.5691531417236997,48,trial_0106_learning_rate=0.01,completed,[5],0.01,0.001,[128],base_cnn_kernel_sweep
cnn,0.162213290810585,0.3566294666000784,0.3607776062654867,217151,217151,31,0.7268146311292558,0.4727570911147162,0.5704518003170003,46,trial_0107_learning_rate=0.01,completed,[5],0.01,0.001,[256],base_cnn_kernel_sweep
cnn,0.167869824051857,0.3194038689169441,0.3247646055138161,100223,100223,50,0.623387636988324,0.4727570911147162,0.534628305832741,39,trial_0108_learning_rate=1.0e-04,completed,[10],0.0001,0.0,[64],base_cnn_kernel_sweep
cnn,0.1650618858337402,0.337412400782686,0.3433473698039351,183999,183999,50,0.6755430708617866,0.4727570911147162,0.5784330765016361,47,trial_0109_learning_rate=1.0e-04,completed,[10],0.0001,0.0,[128],base_cnn_kernel_sweep
cnn,0.1628806654214859,0.3493135512362967,0.3559834246341588,351551,351551,50,0.7199435671309377,0.4727570911147162,0.6180263199296792,55,trial_0110_learning_rate=1.0e-04,completed,[10],0.0001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1671390341520309,0.3218810118800642,0.3280524789891882,100223,100223,50,0.6410808118156163,0.4727570911147162,0.5434794282908101,40,trial_0111_learning_rate=1.0e-04,completed,[10],0.0001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1652795144319534,0.3352547058044209,0.343665971881717,183999,183999,50,0.6847283053490014,0.4727570911147162,0.5886057062740678,50,trial_0112_learning_rate=1.0e-04,completed,[10],0.0001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1629354565143585,0.3495738221892861,0.3566446560703816,351551,351551,50,0.722365313890556,0.4727570911147162,0.6175233863660629,53,trial_0113_learning_rate=1.0e-04,completed,[10],0.0001,1e-05,[256],base_cnn_kernel_sweep
