model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history,sweep_name
cnn,0.1689047974348068,0.229985573152218,0.2339361707765221,351551,351551,34,0.6857897530174042,0.4727570911147162,0.5125170593732518,32,0.3815135061740875,0.2392697185277938,1,trial_0031_history=4,completed,[10],0.0,[256],4,hist_cnn_initstate_v3
cnn,0.1717121973037719,0.2141279385371046,0.2147513978547517,351551,351551,36,0.6575034374560969,0.4727570911147162,0.4512859088028689,21,0.3815135061740875,0.2220226377248764,1,trial_0032_history=5,completed,[10],0.0,[256],5,hist_cnn_initstate_v3
cnn,0.1728477463722229,0.2073308489927139,0.2111140564682326,351551,351551,36,0.633250445168841,0.4727570911147162,0.4341200484843947,16,0.3815135061740875,0.2153418213129043,1,trial_0033_history=10,completed,[10],0.0,[256],10,hist_cnn_initstate_v3
cnn,0.1746135301589965,0.1964937792691152,0.2005212995585041,351551,351551,33,0.611425547050666,0.4727570911147162,0.4230367257588649,15,0.3815135061740875,0.2040692716836929,1,trial_0034_history=20,completed,[10],0.0,[256],20,hist_cnn_initstate_v3
cnn,0.1612528700828552,0.2811880159651093,0.2897713944736971,351551,351551,35,0.7495089508835889,0.4727570911147162,0.616217166661322,53,0.3815135061740875,0.2915911674499511,6,trial_0035_history=1,completed,[10],0.0001,[256],1,hist_cnn_initstate_v3
cnn,0.1628716660737991,0.273412414450337,0.2823089017809878,351551,351551,35,0.7529070255418348,0.4727570911147162,0.6168774359376714,54,0.3815135061740875,0.2845847904682159,4,trial_0036_history=2,completed,[10],0.0001,[256],2,hist_cnn_initstate_v3
cnn,0.1684608379602432,0.2361555683376868,0.2377527356613848,351551,351551,36,0.6759182647667311,0.4727570911147162,0.5066281777172064,31,0.3815135061740875,0.2450592964887619,2,trial_0037_history=3,completed,[10],0.0001,[256],3,hist_cnn_initstate_v3
cnn,0.1699058632850646,0.2264298172986458,0.2325096132936906,351551,351551,32,0.6751784100713051,0.4727570911147162,0.5036608152496485,31,0.3815135061740875,0.2355660200119018,1,trial_0038_history=4,completed,[10],0.0001,[256],4,hist_cnn_initstate_v3
cnn,0.1715016000270843,0.2135022744053447,0.2130904560703327,351551,351551,34,0.6387105705780867,0.4727570911147162,0.4452375612196221,19,0.3815135061740875,0.2219348102807998,1,trial_0039_history=5,completed,[10],0.0001,[256],5,hist_cnn_initstate_v3
cnn,0.1726224002838134,0.2081871940371155,0.2132048565026364,351551,351551,35,0.6309988484887642,0.4727570911147162,0.4337714911368588,17,0.3815135061740875,0.2159619480371475,1,trial_0040_history=10,completed,[10],0.0001,[256],10,hist_cnn_initstate_v3
cnn,0.1744262278079986,0.1985050725165317,0.2003599633238262,351551,351551,35,0.6128779977260459,0.4727570911147162,0.4233511216171441,15,0.3815135061740875,0.2061186581850052,1,trial_0041_history=20,completed,[10],0.0001,[256],20,hist_cnn_initstate_v3
cnn,0.1638000082969665,0.2656515239939588,0.2739397952494496,620351,620351,27,0.7102368818517598,0.4727570911147162,0.5974528819158589,48,0.3815135061740875,0.2769470512866974,5,trial_0042_history=1,completed,[20],0.0,[256],1,hist_cnn_initstate_v3
