run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0074_learning_rate=1.0e-04,cnn,0.163405708193779,0.3476908654556831,0.35353211056168216,217151,217151,50,0.7361140662426595,0.47275709111471625,0.6218150642368532,52,trial_0074_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0075_learning_rate=1.0e-04,cnn,0.1682287893295288,0.3160851032182435,0.3219024403090762,66623,66623,50,0.6484133069003368,0.47275709111471625,0.5515219270097788,42,trial_0075_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0076_learning_rate=1.0e-04,cnn,0.16568492376804353,0.3344354349962531,0.34020176355506737,116799,116799,50,0.6976101044010157,0.47275709111471625,0.590692043806789,50,trial_0076_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0077_learning_rate=1.0e-04,cnn,0.16310067212581633,0.3504183310625689,0.35446442195795536,217151,217151,50,0.7363723899911272,0.47275709111471625,0.6247874678922135,52,trial_0077_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0078_learning_rate=1.0e-04,cnn,0.1680973345041275,0.3174385296396281,0.3234996500009819,66623,66623,50,0.6528411319582734,0.47275709111471625,0.5503149142347153,42,trial_0078_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0079_learning_rate=1.0e-04,cnn,0.16555348670482636,0.3354655021403603,0.3415892685764054,116799,116799,50,0.7002696230558528,0.47275709111471625,0.5949962820698841,51,trial_0079_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0080_learning_rate=1.0e-04,cnn,0.16311661458015442,0.3493390222106379,0.3547129165488586,217151,217151,50,0.7339613045834246,0.47275709111471625,0.6209955982987556,54,trial_0080_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0081_learning_rate=1.0e-04,cnn,0.1684982694387436,0.3149966236113348,0.32079350370136633,66623,66623,50,0.6482841098317627,0.47275709111471625,0.5521948922900405,43,trial_0081_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0082_learning_rate=1.0e-04,cnn,0.16555263900756836,0.33498578733959555,0.33956449119246723,116799,116799,50,0.698057655413261,0.47275709111471625,0.5936992602368903,50,trial_0082_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0083_learning_rate=1.0e-04,cnn,0.16335092985630034,0.34695184027213105,0.3536120858886463,217151,217151,50,0.7316005129671452,0.47275709111471625,0.6201656412664643,53,trial_0083_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0084_learning_rate=1.0e-03,cnn,0.16306634938716888,0.3468369639428886,0.35190425479387566,66623,66623,50,0.6997061430789647,0.47275709111471625,0.5677115604038566,47,trial_0084_learning_rate=1.0e-03,completed,[5],0.001,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0085_learning_rate=1.0e-03,cnn,0.16139920282363893,0.36007195366627415,0.3639666185510752,116799,116799,50,0.7428502893837082,0.47275709111471625,0.6013040547215857,52,trial_0085_learning_rate=1.0e-03,completed,[5],0.001,0.0,[128]
